gen,candidate,kind,fitness,homeGoals,awayGoals,goalDiff,shotDiff,boxDiff,attThirdDiff,possDiff,reversals,transPerSec,stationary,ShootRangeNear,ShootRangeFar,ShootScoreNear,ShootScoreFar,ShootPressurePenalty,RoleAttackForward,RoleAttackMidfielder,RoleAttackDefender,PassBaseScore,PassScoreScale,PassPressureBonus,PassFarBonus,CrossBonus,DribbleBaseScore,DribbleLaneBonus,DribbleFreeSpaceBonus,ClearScore,ChaseBaseScore,HoldBaseScore,CommitmentBonus,AttackDepthDefender,AttackDepthMidfielder,AttackDepthForward,HomePositionLerp,DeepRunDepth,DefendDepthDefender,DefendDepthMidfielder,DefendDepthForward,DefendBallPull,GKChaseGoalDistance,GKChaseBallDistance,GKLineOffset,GKTrackLerp
14,child0,child,5.1891,2.000,0.000,2.000,14.000,-1.000,-101.550,0.689,448.000,3.360,11.083,1461,2370,105.1,85.49,12.03,1.122,0.6199,1.3,33.24,0.02147,16.32,11.9,37.29,26.99,26.68,10.68,69.84,103.1,65.4,15.45,0.3598,0.7183,0.9695,0.8,1,0.2228,0.2913,0.85,0.1082,498.1,800,108,0.398
14,child1,child,10.0233,3.000,0.000,3.000,5.000,4.000,9.267,0.182,106.000,1.780,13.150,1600,2341,97.8,83.78,9.253,1.565,0.6,1.3,33.45,0.01529,17.57,12.26,33.64,29.81,22.73,12.35,60.79,110,65.52,25.76,0.5003,0.7588,1,0.8,0.9604,0.1743,0.3403,0.85,0.1046,464,800,98.19,0.4074
14,child2,child,8.4768,3.000,0.000,3.000,8.000,0.000,-85.450,0.942,176.000,2.320,12.933,1385,1779,137.2,99.87,8.642,1.249,0.619,1.104,30.92,0.01791,19.28,11.63,28.98,25.77,30,11.61,80.92,88.41,63.52,26.66,0.44,0.7408,0.7915,0.7284,1,0.1783,0.2625,0.85,0.1392,643.2,658,95.68,0.3631
14,child3,child,8.6168,3.000,0.000,3.000,5.000,2.000,-2.100,0.226,200.000,2.340,11.200,1600,1953,132.1,81.34,8.889,1.26,0.6,1.3,28.25,0.01654,21.43,10.97,30,25.48,30,10.07,65.24,100.2,71.18,17.81,0.4674,0.8637,0.9276,0.8,0.9008,0.1628,0.3343,0.7797,0.144,439.2,703.9,93.37,0.3449
14,child4,child,6.8437,2.000,0.000,2.000,10.000,2.000,-52.367,0.910,251.000,2.740,11.800,1600,1995,119.5,106.5,9.916,1.42,0.7641,1.125,31.07,0.02103,22.62,11.4,38.38,25.17,22.82,12.2,66.01,96.62,73.1,19.95,0.4267,0.8358,0.9715,0.8,0.8622,0.1759,0.3609,0.85,0.1211,564.4,800,116.2,0.4399
14,child5,child,-8.8460,0.000,0.000,0.000,-5.000,-3.000,-122.433,0.191,199.000,2.347,11.683,1327,2234,106,85.67,8.028,1.229,0.7626,0.9187,32.78,0.01525,17.64,12.66,37.66,21.71,24.7,12.45,80.28,99.4,64.2,20.06,0.3945,0.7511,0.9682,0.8,1,0.1651,0.3431,0.85,0.1266,532.2,665.6,103.9,0.4226
14,child6,child,-44.9913,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.000,0.000,450.000,1600,1798,117.5,84.78,9.22,1.285,0.7488,1.038,35.05,0.01894,23.02,13.22,40,21.44,26.42,12.09,70.66,70.23,69.78,21.65,0.4253,0.8243,1,0.8,1,0.1868,0.3424,0.85,0.101,575.4,796.8,87.01,0.3652
14,child7,child,-44.9908,0.000,0.000,0.000,0.000,0.000,0.000,0.018,0.000,0.000,450.000,1600,2039,115.3,86.69,8.77,1.168,0.6,1.147,38.58,0.01608,16.44,11.89,35.84,31.16,30,12.45,63.97,86.06,80,23.55,0.5001,0.8261,0.8236,0.754,1,0.1784,0.3497,0.85,0.1014,501.7,709,117.4,0.3645
15,parent,parent,12.6239,3.000,0.000,3.000,12.000,5.000,54.633,0.140,292.000,2.387,13.800,1600,2341,97.8,83.78,9.253,1.565,0.6,1.3,33.45,0.01529,17.57,12.26,33.64,29.81,22.73,12.35,60.79,110,65.52,25.76,0.5003,0.7588,1,0.8,0.9604,0.1743,0.3403,0.85,0.1046,464,800,98.19,0.4074
15,child0,child,-10.2081,1.000,1.000,0.000,-1.000,-1.000,16.067,0.774,116.000,1.447,89.117,1373,2079,92.15,98.55,9.181,1.269,0.6,1.3,35.67,0.01266,17.49,11.41,36.01,28.26,23.45,12.27,65.29,108.5,70.16,27.48,0.4466,0.5957,0.9523,0.8,1,0.1737,0.2773,0.7771,0.1243,547.2,800,96.46,0.4407
